Format: xRadius yRadius Family# Removed (-1 = userRectangle, 0 = userEllipse, > 0 is family in order of famProb)
2 2 1
2 2 1 R
2 2 1 R
2 2 1 R
2 2 1
2 2 1
2 2 1 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 2
2 2 1 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 1
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 1
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2
2 2 2 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2
2 2 1
2 2 1 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1
2 2 1 R
2 2 2 R
2 2 1 R
2 2 1
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 1
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2
2 2 1 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2
2 2 1 R
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2
2 2 2 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
2 2 2 R
2 2 1 R
2 2 1 R
2 2 1 R
2 2 2 R
2 2 1 R
2 2 2 R
